filename,summary,predicted_labels
essay_100_summary.txt,"Jainism rejects the belief in a Creator or God. Jainism establishes five distinct principles of ethics which are Ahimsa (non-violence), Satya (truth), Astheya ( non-stealing), Brahmacharya (chastity)","social issues, culture, law"
essay_101_summary.txt,"It is highly common for one culture not to be able to understand the state, internal struggles, and intricacies of a different culture. The given notion is called ethnocentrism, where one’s perspective and views are centered around his or her own culture. As a person living in Canada, I embody Canadian culture.","culture, social issues, environment"
essay_102_summary.txt,"Electronic banking is also known as internet or mobile banking. These are platforms that banks may use to offer clients easier access to services. To increase customer satisfaction with e-banks, businesses must increase the following factors: speed of operations, dependability, safety and confidentiality, and a client-oriented approach.","business, design, management"
essay_103_summary.txt,"End-Stage Renal Failure (ESRF) is a decrease in the excretory filtration systems of the kidneys. The extinction of renal function causes a violation of normal life, to which various body systems respond with complications. The incidence of ESRF has recently reached more than 1 in 7 adults in the US.","health, media, management"
essay_104_summary.txt,"Globalization is the extent to which information, investments, trade, political cooperation, cultural values, and social ideas flow among different countries. It is creating a borderless world for managers by allowing them to conduct their operations internationally rather than locally. The international landscape is changing since China, India, and Brazil demonstrate economic growth and play an important role in global business.","business, management, culture"
essay_105_summary.txt,Refractory high entropy superalloys have an ordered crystal structure which improves the capability to withstand high temperatures by reinforcing it. Additive manufacturing is an alternative to the traditional methods of composite production. The newly discovered capacity of artificial intelligence can significantly enhance the quality of 3D printers and make them more accurate.,"design, business, law"
essay_106_summary.txt,"The video provides an insightful demonstration of how risk assessment and goal setting are conducted when dealing with a client. The assessment session begins with the risk assessment process, where a counselor asks a client whether or not he or she has suicidal thoughts. The goal setting process is initiated by questions regarding goals on the client's life.","media, psychology, health"
essay_107_summary.txt,"The importance of learning is to obtain new information about events not previously known to me. In case the background information concerns negative phenomena, oppression, learning enables me to prevent past mistakes and develop a fair future. Bill C-31 resulted from such a struggle, and personally, for the speaker means an opportunity for further innovation.","law, social issues, education"
essay_108_summary.txt,"This study operationalizes the restaurant tipping culture by focusing on the tip percentage. The study’s strengths include design transparency, implementation simplicity, and potential replication in different settings. The potential confounding variables of this experiment may be the food quality, the server's gender, the dining party's size, and whether the customers were regulars.","culture, design, business"
essay_109_summary.txt,A leader who sincerely strives for the whole team can lead every stage of every day. A leader who can inspire people to form the basis of my leadership strategy helps me reinforce my own leadership strategy. Finding opportunities for your development allows you to demonstrate a vitality that energizes other people.,"management, culture, environment"
essay_10_summary.txt,"A recent Chicago hot dog restaurant incident can be considered an ethical issue. The offender's actions were disproportional to the situation, apart from the obvious property damage offense. A utilitarian point of view would consider this incident wrong by examining the consequences of the offender’s actions.","media, law, culture"
essay_110_summary.txt,Asthma is a serious disease that affects about 25 million Americans and causes nearly 1.6 million emergency room visits every year. The disease causes swelling and narrowing of the respiratory tract and the possible occurrence of excessive mucus on them. An asthma attack can become a particular danger for asthma patients. An unfavorable prognosis is that such a respiratory disease as asthma is not fully treated.,"health, management, media"
essay_111_summary.txt,"Asthma has become one of the most common diseases in the United States and the world. 25 million people nationwide have asthma. The most common risk factors include a genetic predisposition to asthma, conditions related to allergic reactions, having serious respiratory infections as a child, and being exposed to various irritants and chemicals at work.","health, media, management"
essay_112_summary.txt,"The novel Atonement by Ian McEwan touches upon the topic of the significance of writing. The author uses various literary devices to convey many themes within the novel. Using the omniscient narrator, the author strives to show a person’s emotions who tries to atone the sins through writing.","art, media, design"
essay_113_summary.txt,"Attaining sustainability is the optimal way of humanity’s long-term development. To enable this outcome, the nature of the relationship between people and their planet needs to change. This includes the respect of nature as something that had existed long before the dawn of humanity. In a sustainable future, the biodiversity goals described by Diaz et al. (2020) will be completed.","environment, management, culture"
essay_114_summary.txt,Austville Community Health Centre is an ideal place for Mrs.. Smith to access healthcare services because it is a short distance from where she lives. The center has multidisciplinary healthcare personnel trained to offer high-quality services to the elderly. The environment around Austville offers Mrs. Smith an opportunity to establish positive social networks.,"health, environment, design"
essay_115_summary.txt,"Authentic and Servant Leadership in Pakistani Higher Education Essay by Abbas, Saud, Suhariadi, F., Indrianawati, U., & Dian, E. Current Psychology, the global peer-reviewed research forum, accepted their work for publishing.","education, psychology, culture"
essay_116_summary.txt,"In the Bible, God is described as a benevolent, if strict, father figure who can forgive humankind their sins and grant them eternal redemption. In contrast, Aztec creation stories are based on dismembered gods, and thus the origin of the world is catastrophic violence.","religion, culture, design"
essay_117_summary.txt,"The bail reform is a part of a series of criminal justice reforms that have gone into effect in recent years. The original motivation behind the bail reform was centered around the inequality issues and disparities that allowed the rich to buy their freedom and return home. According to Baughman (2019), done right, bail keeps dangerous individuals off the streets; done wrong, it keeps those with less economic means in jail longer.","social issues, law, media"
essay_118_summary.txt,"Barriers to Evidence-Based Practice in Nursing Essay by Wilson & Austria. Currently, EBP is not used actively by nurses for several reasons. Workload of most nurses discourages their desire to learn and embrace EBP. Lack of social opportunity embodied in the lack of organizational support and teamwork.","social issues, health, environment"
essay_119_summary.txt,Barriers to Healthcare Plan Implementation Essay. There are always multiple obstacles that can significantly diminish the overall efficiency of any project plan. It is crucial to analyze all the factors that may stay behind potential barriers to its successful implementation. A dedicated analysis is needed in order to find the most appropriate solutions to problems that may arise.,"health, environment, law"
essay_11_summary.txt,Public transportation was designed to help people commute from outside the cities inwards and vice versa. Most studies show that most Americans today commute between suburban routes that are not served by the public transport system. The government must first change its perspective on public transportation by looking at it from a public service rather than from a capitalist point of view. Restructuring trains and buses are stopping points to minimize the walking distance between stops.,"transportation, design, management"
essay_120_summary.txt,The barriers that firms may face on their way to internal logistical integration are possible to group into five categories by their origin and nature. The first derives from an insufficiently coherent structure of a business that results in poor communication among its departments. The traditional systems of management and reward also can be an obstacle to internal integration.,"business, management, transportation"
essay_121_summary.txt,"BBC Ancient Greece: The Greatest Show on Earth – Democrats – 1/3 (Maximus, 2013) Theater was not just a mirror of their present; it was itself a stage on which that present could be played out. The story of Athens is a story of survival in a complex and changing world.","media, culture, history"
essay_122_summary.txt,The biographical film ‘Before Night Falls’ describes the tragic and hardship-filled life of the famous Cuban poet Reinaldo Arenas. The main character was raised in a low-income family and decided to support the Cuban revolutionaries who appreciated his talent as a writer. Freud’s writings in this area explain the main character's sexual attraction to his own gender.,"media, psychology, social issues"
essay_123_summary.txt,Benefits of Bicycling for Persons with Parkinson’s Disease: Analysis Essay. How effective is bicycle exercise as physical activity (I) compared to usual care (C) when applied to a specific period (T)? The chosen article for the analysis is ‘Parkinson's disease patients benefit from bicycling’ by Tiihonen et al. 2021.,"health, formal sciences, transportation"
essay_124_summary.txt,"Beowulf may be regarded as one of the most prominent ancient European poems. The poem describes the glorious life and deeds of a hero, Beowulf, who was regarded as a person sent by heaven for people. The main hero desires personal glory and has nothing to lose. After becoming a king, he realizes the importance of being a wise ruler.","history, culture, media"
essay_125_summary.txt,Beowulf is an Anglo-Saxon epic poem set in Jutland before the Angles migrated to Britain. Beowulf became one of the revered heroes in Old English literature. This epic character attracts attention in modern times full of doubts and contradictions with his almost archetypal clarity and wholeness.,"culture, environment, media"
essay_126_summary.txt,The collapse of WorldCom in 2002 provides a nice example of the lack of proper communication in a corporation. The inability of various top managers and accountants to communicate efficiently in order to prevent frauds is always disastrous. The reasons for all the misunderstanding and complicated series of negotiations are rooted in barriers to communication that include motive distortion and extreme self-absorption.,"business, management, culture"
essay_127_summary.txt,"Beverly Greene Life and View of Racism Annotated Bibliography. The author’s presence in the biography, and the amount of transformation of life events are insignificant. There is practically no analytical coverage of the scientific concept of Beverly Greene in the article, which excludes the possibility of biased interpretation of ideas.","social issues, media, formal sciences"
essay_128_summary.txt,Beverly Daniel Tatum argues that racial identity is one of the most pressing matters in contemporary society. She explains that it is challenging to have an honest conversation about race due to its negative stigma. The book educates readers on how black people perform in white society.,"social issues, media, culture"
essay_129_summary.txt,"The Bhagavad Gita is an ancient Indian scripture that consists of 700 verses. The plot of the Gita unfolds within the framework of a conversation between Arjuna, the prince of the Pandavas, and Krishna, his guide, charioteer, and the supreme God incarnate.","religion, transportation, history"
essay_12_summary.txt,"The World Bank funded the study to demonstrate the value of money in reducing the spread of HIV among young, poor girls. The Lancet presented statistics based on a survey in the Zomba district of Malawi (G.C. 2). The Economist later summarized the study with the most critical findings from the analysis.","health, social issues, media"
essay_130_summary.txt,"The TED Talks are illustrations of bio-psycho-social-spiritual developmental issues which ultimately create circumstances in which certain people do not feel fully included in society. It is certain that discrimination starts with bias, which is a layered concept. The bias may be automatic, ambiguous, and ambivalent depending on its characteristics and how it manifests in terms of people’s opinions on certain groups of individuals.","social issues, psychology, culture"
essay_131_summary.txt,The film “Coded Bias’ provides comprehensive information regarding the problems related to facial recognition algorithms. The possible ways of reducing this type of bias attributed to present-day facial recognition. algorithms are to prevent their implementation in legal proceedings and police activity in general and introduce practical improvements.,"media, law, social issues"
essay_132_summary.txt,"Ethics are vital for biomedical research because their methodologies include direct intervention into an individual’s private space, body, or mental health conditions. Learning the history of research ethics impacts the view of biomedical studies by providing the understanding of the priority of human rights over any scientific progress.","health, history, social issues"
essay_133_summary.txt,Biracial people have many advantages that open many opportunities for the non-standard perception of the world. Multi-racial persons can have better self-esteem than mono-racial people if they are nurtured to identify with both parents. Mixed-race offspring are more likely to inherit a variety of physical traits.,"environment, health, culture"
essay_134_summary.txt,"A bird strike happens when an aircraft in a flight and a bird collides or when landing or takeoff. Bird Strike is prevalent, and it can cause substantial hazards to aircraft safety. According to BirdLife.org, the world is home to nearly 11,000 different bird species. Avian hearing is most susceptible to sounds between 1 and 4 kHz.","transportation, environment, media"
essay_135_summary.txt,"Black women worldwide have problems with access to high-level health care. Systematic adjustments, starting with health care, aimed at improving the well-being of black women will improve maternal health and women’s possibilities. The authors provide several recommendations to address some of the most significant issues and improve the situation of black mothers.","health, design, management"
essay_136_summary.txt,"The Caribbean was colonized by the whites, who were the minority of the area’s population. The colonizers brought Africans who worked in their homes and plantations under the fierce rule. The enslaved people and the Blacks in the area expressed and identified themselves through music and distinct African heritage.","music, culture, history"
essay_137_summary.txt,"The history of blood transfusion dates back to ancient times when people tried to treat animals with blood. The first documented intravenous injections refer to the beginning of the world’s first academy of sciences – the Royal Society of London, founded in the 60s of the 17th century. In 1932, the first blood bank was established in a Leningrad hospital.","history, formal sciences, health"
essay_138_summary.txt,"Average BCBA pay is around $62,000 per year and the worst ten percent make $47,000. As a person develops expertise as a BCBA, you may anticipate your income to rise. BCBAs with competence in clinical management, ABA, Autism Spectrum Disorder, Structural Analysis and creating processes are sought by employers.","management, business, health"
essay_139_summary.txt,Boeing is the largest aircraft manufacturer of all time. The company is well-known for its commercial airplanes and input in space and security. William E. Boeing established the company in 1916 in Seattle before moving to Chicago. Being located in parts of the world allowed the company to get the most diverse and talented workforces.,"business, management, culture"
essay_13_summary.txt,"Thelma and Louise is one of the few films that explore not only female friendships but also delve into the interpersonal connection of women. The film’s finale proves that suicide is preferable to prison, just as lethal injection is better than life imprisonment.","media, social issues, culture"
essay_140_summary.txt,"“Bowling Alone” by Robert Putnam Essay (Critical Writing) (1995) Putnam says that the social life of the USA collapses, and it is difficult to predict the results of this process. The results cannot be predicted as the USA has always been a state with strong community relations. If nothing changes, we will bowl alone.","social issues, culture, environment"
